공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
검사종료일자,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일을 끝마치는 날짜,INSP_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
검사종류명,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일의 부문을 나눈 갈래의 이름,INSP_KND_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
검사주기내용,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일이 되풀이되기까지의 기간을 설명한 내용,INSP_CYCLE_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검사차수,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 것의 주기나 경과의 시기를 나타낸 수,INSP_CYCL,수N7,,9999999,9999999,,,,6차(2023-11),,,
검사항목내용,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일을 구성하고 있는 낱낱의 부분이나 갈래를 설명한 내용,INSP_ARTCL_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검사항목명,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일을 구성하고 있는 낱낱의 부분이나 갈래의 이름,INSP_ARTCL_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),,,
검사항목일련번호,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일을 구성하고 있는 낱낱의 부분이나 갈래에 일정한 방식으로 연속되게 매긴 번호,INSP_ARTCL_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,8차(2025-11),,,
검사횟수,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일의 횟수,INSP_NMTM,수N10,,9999999999,"9,999,999,999",,,,8차(2025-11),,,
검사희망일자,사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을 판단하는 일의 진행을 원하는 날짜,INSP_HOPE_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
검색가능여부,책이나 컴퓨터에서 목적에 따라 필요한 자료들을 찾아낼 수 있는지 여부,SRCH_PSBLTY_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,4차(2021-12),,,
검색건수,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낸 건수",SRCH_NOCS,수N14,,99999999999999,"99,999,999,999,999",,,검색수,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
검색결과내용,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낸 결론의 내용",SRCH_RSLT_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검색계정과목명,목적에 따라 필요한 자료들을 찾기 위해 사용된 회계 단위 계정의 이름,SRCH_ACNTL_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),,,
검색내용,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아내는 일을 설명하는 내용",SRCH_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
검색사용여부,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾는 기능을 사용하는지 여부",SRCH_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
검색시각,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낸 어느 한 시점",SRCH_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
검색어명,주로 인터넷상에서 찾아야 하거나 찾은 단어의 이름,SRWRD_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
검색여부,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아내는지 여부",SRCH_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
검색연도,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낸 연도",SRCH_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,7차(2024-11),,,
검색일련번호,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아내는 일에 일정한 방식으로 연속되게 매긴 번호",SRCH_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,6차(2023-11),,,
검색일시,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낸 날짜와 시각",SRCH_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,6차(2023-11),,,
검색일자,책이나 컴퓨터에서 목적에 따라 필요한 자료를 찾은 날짜,SRCH_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,5차(2022-07),,,
검색종료일자,책이나 컴퓨터에서 목적에 따라 필요한 자료를 찾은 것을 종료한 날짜,SRCH_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
검색키워드명,"데이터를 검색할 때, 특정한 내용이 들어 있는 정보를 찾기 위하여 사용하는 단어나 기호의 이름",SRCH_KYWD_NM,명V300,,300자리 이내 문자,,,,,6차(2023-11),,,
검색허용여부,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낼 수 있게 허락했는지 여부",SRCH_PRM_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
검색횟수,"책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아낸 횟수",SRCH_NMTM,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
검수결과내용,"물건의 규격, 수량, 품질 등을 검사한 결론을 설명하는 내용",IGI_RSLT_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
검수금액,"물건의 규격, 수량, 품질 따위를 검사한 후 받은 물건을 돈으로 환산한 액수",IGI_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
검수내용,"물건의 규격, 수량, 품질 등을 검사한 내용",IGI_CN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
검수번호,"물건의 규격, 수량, 품질 등을 검사한 후 물건에 부여하는 식별 번호",IGI_NO,번호V25,,25자리 이내 문자,,,,,6차(2023-11),,,
검수수량,"물건의 규격, 수량, 품질 따위를 검사한 후 물건을 받은 수효와 분량",IGI_QTY,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
검수여부,"물건의 규격, 수량, 품질 등을 검사했는지 여부",IGI_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
검수완료여부,"물건의 규격, 수량, 품질 등을 검사하는 일을 끝마쳤는지 여부",IGI_CMPTN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
검수완료일자,"물건의 규격, 수량, 품질 등을 검사하는 일을 완전히 끝마친 날짜",IGI_CMPTN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
검수요청시각,"물건의 규격, 수량, 품질 등의 검사를 청한 어느 한 시점",IGI_DMND_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
검수요청일자,"물건의 규격, 수량, 품질 등의 검사를 청하는 날짜",IGI_DMND_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
검수일시,"물건의 규격, 수량, 품질 등을 검사하는 날짜와 시각",IGI_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,6차(2023-11),,,
검수일자,"물건의 규격, 수량, 품질 등을 검사한 날짜",IGI_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,4차(2021-12),,,
검수자명,"물건의 규격, 수량, 품질 등을 검사한 후 물건을 받는 사람의 이름",CHCKR_NM,명V100,,100자리 이내 문자,,,,검수자이름,4차(2021-12),,,
검수장소명,"물건의 규격, 수량, 품질 등을 검사한 곳의 이름",IGI_PLC_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
검정번호,일정한 규정에 따라 자격이나 조건을 검사하여 결정하는 일에 부여하는 식별 번호,RCGN_NO,번호V20,,20자리 이내 문자,,,,,8차(2025-11),,,
검정연도,일정한 규정에 따라 자격이나 조건을 검사하여 결정한 연도,RCGN_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,2차(2020-12),,,
검정일자,일정한 규정에 따라 자격이나 조건을 검사하여 결정하는 날짜,RCGN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
검증결과내용,어떤 사실을 검사하여 증명하는 일의 결론을 서술한 내용,VRFC_RSLT_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검증내용,어떤 사실을 검사하여 증명하는 일의 내용,VRFC_CN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
검증번호,어떤 사실을 검사하여 증명하는 것에 부여하는 식별 번호,VRFC_NO,번호V50,,50자리 이내 문자,,,,,6차(2023-11),,,
검증설명,어떤 사실을 검사하여 증명하는 것에 대한 설명,VRFC_EXPLN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검증시작일자,어떤 사실을 검사하여 증명하는 일을 시작한 날짜,VRFC_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
검증여부,어떤 사실을 검사하여 증명하였는지 여부,VRFC_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
검증완료여부,어떤 사실을 검사하여 증명하는 일을 끝마쳤는지 여부,VRFC_CMPTN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
검증완료일시,어떤 사실을 검사하여 증명하는 일을 완전히 끝마친 날짜와 시각,VRFC_CMPTN_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
검증완료일자,어떤 사실을 검사하여 증명하는 일을 완전히 끝마친 날짜,VRFC_CMPTN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
검증요청일자,어떤 사실을 검사하여 증명하는 일을 청한 날짜,VRFC_DMND_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
검증일시,어떤 대상의 성질이나 상태 등을 인식하여 조사한 날짜와 시각,VRFC_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
검증일자,어떤 대상의 성질이나 상태 등을 인식하여 조사한 날짜,VRFC_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,1차(2020-08),,,
검증항목명,어떤 대상의 성질이나 상태 따위를 인식하여 조사하는 일을 구성하고 있는 낱낱의 부분이나 갈래의 이름,VRFC_ARTCL_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
검진결과내용,건강 상태와 질병의 유무를 알아보기 위하여 증상이나 상태를 살피는 일의 결론에 대한 내용,CKUP_RSLT_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검진소견내용,건강 상태와 질병의 유무를 알아보기 위하여 증상이나 상태를 살펴보고 가지게 되는 생각이나 의견에 대한 결론의 내용,CKUP_OPIN_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검진연도,건강 상태와 질병의 유무를 알아보기 위하여 증상이나 상태를 살핀 연도,CKUP_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,8차(2025-11),,,
검진일시,건강 상태와 질병의 유무를 알아보기 위하여 증상이나 상태를 살핀 날짜와 시각,CKUP_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
검진일자,건강 상태와 질병의 유무를 알아보기 위하여 증상이나 상태를 살피는 날짜,CKUP_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
검출여부,물질 속에 어떤 화학 성분이나 미생물이 있는지를 검사하여 확인한 결과 검사 대상이 나왔는지 여부,DTCT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
검침시각,"전기, 수도, 가스 따위의 사용량을 알기 위하여 계량기의 숫자를 검사한 어느 한 시점",MTRD_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
검침시간,"전기, 수도, 가스 따위의 사용량을 알기 위하여 계량기의 숫자를 검사하는 데에 걸리는 시간",MTRD_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
검침일시,"전기, 수도, 가스 따위의 사용량을 알기 위하여 계량기의 숫자를 검사한 날짜와 시각",MTRD_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
검침일자,"전기, 수도, 가스 따위의 사용량을 알기 위하여 계량기의 숫자를 검사한 날짜",MTRD_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
검토결과내용,"어떤 사실이나 내용을 분석하여 따진 것으로 말, 글, 그림, 연출 따위의 모든 표현 매체 속에 들어 있는 것의 결론을 서술한 내용",RVW_RSLT_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
검토금액,어떤 사실이나 내용을 분석하여 따진 돈의 액수,RVW_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
검토내용,"어떤 사실이나 내용을 분석하여 따진 것으로 말, 글, 그림, 연출 따위의 모든 표현 매체 속에 들어 있는 내용",RVW_CN,내용V4000,,4000자리 이내 문자,,,,,5차(2022-07),,,
검토대상여부,어떤 사실이나 내용을 분석하여 따지는 상대인지 여부,RVW_TRGT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
검토부서명,어떤 사실이나 내용을 분석하여 따지는 기관이나 단체의 사무 각 부문의 이름,RVW_DEPT_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
검토사항,어떤 사실이나 내용을 분석하여 따지는 일의 항목이나 내용,RVW_MTTR,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검토시작일자,어떤 사실이나 내용을 분석하여 따지는 것을 시작한 날짜,RVW_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
검토여부,어떤 사실이나 내용을 분석하여 따졌는지 여부,RVW_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,3차(2021-10),,,
검토완료여부,어떤 사실이나 내용을 분석하여 따지는 일을 끝마쳤는지 여부,RVW_CMPTN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
검토완료일시,어떤 사실이나 내용을 분석하여 따지는 것을 완전히 끝마치는 날짜와 시각,RVW_CMPTN_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
검토완료일자,어떤 사실이나 내용을 분석하여 따지는 것을 완전히 끝마치는 날짜,RVW_CMPTN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
검토요청내용,어떤 사실이나 내용을 분석하여 따지는 것을 청한 내용,RVW_DMND_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
검토요청일시,어떤 사실이나 내용을 분석하여 따지는 것을 청하는 날짜와 시각,RVW_DMND_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
검토요청일자,어떤 사실이나 내용을 분석하여 따지는 것을 청하는 날짜,RVW_DMND_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
검토일련번호,어떤 사실이나 내용을 분석하여 따지는 것에 일정한 방식으로 연속되게 매긴 번호,RVW_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,검토순번,6차(2023-11),,,
검토일시,어떤 사실이나 내용을 분석하여 따진 날짜와 시각,RVW_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,6차(2023-11),,,
검토일자,어떤 사실이나 내용을 분석하여 따진 날짜,RVW_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,1차(2020-08),,,
검토자명,어떤 사실이나 내용을 분석하여 따지는 사람의 이름,RVWR_NM,명V100,,100자리 이내 문자,,,,검토자이름,4차(2021-12),,,
검토자부서명,어떤 사실이나 내용을 분석하여 따지는 사람이 속해 있는 기관이나 단체의 사무 조직의 이름,RVWR_DEPT_NM,명V200,,200자리 이내 문자,,,,,7차(2024-11),,,
검토자전화번호,어떤 사실이나 내용을 분석하여 따지는 사람의 전화번호,RVWR_TELNO,전화번호V11,,11자리 이내 문자,(9)99-(9)999-9999 or 999-(9)999-9999 or 9999-9999 or 999-(9)999-9999,,,,7차(2024-11),,,
검토자직급명,어떤 사실이나 내용을 분석하여 따지는 사람의 직무 등급의 이름,RVWR_JBGD_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
검토차수,어떤 사실이나 내용을 분석하여 따진 것의 주기나 경과의 시기를 나타낸 수,RVW_CYCL,수N3,,999,999,,,,6차(2023-11),,,
검토항목명,어떤 사실이나 내용을 분석하여 따지는 것의 낱낱의 부분이나 갈래의 이름,RVW_ARTCL_NM,명V200,,200자리 이내 문자,,,,,7차(2024-11),,,
게시기능사용여부,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 하는 기능을 사용했는지 여부,PSTG_FWK_USE_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
게시내용,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 하는 것의 내용,PSTG_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
게시레벨,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 하는 일의 일정한 표준이나 정도,PSTG_LV,번호V10,,10자리 이내 문자,,,,,8차(2025-11),,,
게시물공개여부,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 여러 사람에게 널리 터놓았는지 여부,PST_RLS_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
게시물공지여부,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 세상에 널리 알렸는지 여부,PST_NTC_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
게시물그룹번호,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 함께 행동하거나 공통점이 있어 한데 묶일 수 있는 사람들이나 사물의 무리에 일정한 방식으로 연속되게 매긴 번호,PST_GROUP_NO,번호V10,,10자리 이내 문자,,,,,8차(2025-11),,,
게시물내용,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글의 내용,PST_CN,내용V4000,,4000자리 이내 문자,,,,게시글내용,5차(2022-07),,,
게시물댓글수,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 글에 짤막하게 답하여 올린 글의 가짓수,PST_CMNT_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
게시물등록일시,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 올린 날짜와 시각,PST_REG_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
게시물등록일자,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 올린 날짜,PST_REG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
게시물레벨,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글의 일정한 표준이나 정도,PST_LV,번호V10,,10자리 이내 문자,,,,,8차(2025-11),,,
게시물번호,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글에 부여하는 식별 번호,PST_NO,번호V20,,20자리 이내 문자,,,,,8차(2025-11),,,
게시물비밀번호,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글의 보안을 위해 미리 약정하여 쓰는 개인 고유의 문자열,PST_PSWD,번호V100,,100자리 이내 문자,,,,,8차(2025-11),,,
게시물삭제여부,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 지워 버렸는지 여부,PST_DEL_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
게시물수,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글의 가짓수,PST_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
게시물순서,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글에 정해진 기준에 따라 부여한 차례,PST_SEQ,순서N10,,9999999999,9999999999,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
게시물유형명,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글의 성질이나 특징 따위가 공통적인 것끼리 묶은 틀에 붙인 이름,PST_TYPE_NM,명V300,,300자리 이내 문자,,,,,8차(2025-11),,,
게시물일련번호,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글에 일정한 방식으로 연속되게 매긴 번호,PST_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,"게시물번호, 게시글일련번호, 게시글번호, 게시물순번, 게시물연번, 게시글순번",5차(2022-07),,,
게시물작성자명,"여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 서류, 원고 등을 만든 사람의 이름",PST_WRTR_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
게시물제목,여러 사람에게 알리기 위하여 두루 보게 한 물건이나 글의 내용을 대표하여 붙이는 이름,PST_TTL,명V256,,256자리 이내 문자,,,,게시물제목명,5차(2022-07) (폐기후제정),,,
게시물조회수,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글을 확인한 횟수,PST_INQ_CNT,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
게시물첨부파일수,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글에 첨부한 파일의 수,PST_ATCH_FILE_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
게시물출력수,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 글을 외부로 결과를 나타낸 것의 가짓수,PST_OTPT_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
게시물평가점수,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글의 수준을 평가하여 성적으로 나타내는 점수,PST_EVL_SCR,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
게시시각,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 어느 한 시점,PSTG_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,7차(2024-11),,,
게시시작시각,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게한 어느 한 시점,PSTG_BGNG_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,5차(2022-07),,,
게시시작일시,여러 사람에게 알리기 위하여 처음 내붙이거나 내걸어 두루 보게 한 날짜와 시각,PSTG_BGNG_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,4차(2021-12),,,
게시시작일자,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보도록 시작한 날짜,PSTG_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,1차(2020-08),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
게시여부,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 하는지 여부,PSTG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,1차(2020-08),,,
게시일련번호,여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 하는 일에 일정한 방식으로 연속되게 매긴 번호,PSTG_SN,일련번호N22,,9999999999999999999999,9999999999999999999999,,,,6차(2023-11),,,
