공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
총교육시간,지식과 기술 따위를 가르치며 인격을 길러 주는 것에 걸리는 전체 시간,TTRHR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,6차(2023-11),,,
총구매금액,물건 따위를 사들이는 것에 들어간 전체 돈의 액수,TPRCH_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총구매수량,물건 따위를 사들이는 전체를 합하여 계산한 수효와 분량,TPRCH_QTY,"수N10,3",,9999999.999,9999999.999,,,,8차(2025-11),,,
총근로시간,노동자가 고용주와의 계약에 따라 노동력을 제공한 시간을 모두 합하여 계산한 일정한 시간,TLBR_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
총근로자수,근로에 의한 소득으로 생활을 하는 사람의 전체 수효,TNOWK,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
총근무시간,노동자가 고용주와의 계약에 따라 노동력을 제공하는 것에 걸리는 전체 시간,TWKHR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,6차(2023-11),,,
총근무일수,노동자가 고용주와의 계약에 따라 노동력을 제공하는 것에 걸리는 전체 날의 수,TWRK_DAY_CNT,수N7,,9999999,9999999,,,,7차(2024-11),,,
총금액,전체 돈의 액수,GRAMT,금액N15,,999999999999999,"999,999,999,999,999",,,총액,2차(2020-12),,,
총급여금액,"노동의 대가로 받은 기본급, 각종 수당 및 상여금, 성과급 따위를 모두 합한 돈의 액수",TSL_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총납부금액,세금이나 공과금 따위를 관계 기관에 내는 전체 돈의 액수,TPY_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,총납입금액,6차(2023-11),,,
총대출금액,돈이나 물건 따위를 빌려주거나 빌린 전체 돈의 액수,TLOAN_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총등록건수,일정한 자격 조건을 갖추기 위하여 단체나 학교 따위에 문서를 올린 건체 건수,TRGCNT,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
총매출금액,물건을 내다 팔아서 생긴 전체 돈의 액수,TSLS_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총면적,한 건축물에서 각 층의 바닥 면적의 합계 넓이,GFA,"면적N19,9",,9999999999.999999999,"9,999,999,999.999999999",,국토교통부,연면적,2차(2020-12),,,
총반환금액,빌리거나 차지했던 것을 되돌려준 금액을 모두 합하여 계산한 돈의 액수,TGVBK_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총발열량,일정한 단위의 연료가 완전히 타서 생기는 전체 열량,TCLVL,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
총발행주식수,이미 발행되어 회사 자본으로 넣은 주식의 전체 수효,TSHOSD,수N14,,99999999999999,"99,999,999,999,999",,,,6차(2023-11),,,
총방문자수,어떤 사람이나 장소를 찾아오는 사람을 세어서 나타낸 전체수,TVSTR_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
총배당금액,일정한 기준에 따라 나누어 주는 전체 돈의 액수,TDVD_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총배정금액,몫을 나누어 정한 전체 돈의 액수,TALTM_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총보유주식수,가지고 있거나 간직하고 있는 전체 주식의 수,THLD_STCK_CNT,수N10,,9999999999,"9,999,999,999",,,,8차(2025-11),,,
총보증금액,어떤 사물이나 사람에 대하여 책임지고 틀림이 없음을 증명하는 전체 돈의 액수,TGRNT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총부가가치세금액,부가가치세법에 따라 거래 단계별로 상품이나 용역에 새로 부가하는 가치에 매기는 세금을 모두 합하여 계산한 돈의 액수,TVAT_AMT,금액N18,,999999999999999999,"999,999,999,999,999,999",,,,8차(2025-11),,,
총부채금액,제삼자에게 지고 있는 금전상의 의무를 합한 전체 돈의 액수,TLBLT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총분양금액,어떤 대상을 나누어 주거나 파는 금액을 모두 합하여 계산한 돈의 액수,TLTOT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총비용,어떤 일을 하는 데 드는 돈의 합계 금액,TCO,비용N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총사업비,일정한 사업을 하는 데 드는 비용을 모두 합한 금액,TPCO,비용N15,,999999999999999,"999,999,999,999,999",,기획재정부,총사업비용,2차(2020-12),,,
총사용금액,일정한 목적이나 기능에 맞게 쓰는 전체 돈의 액수,TUSE_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총사용량,일정한 목적이나 기능에 맞게 쓰는 것의 전체의 분량이나 수량,TUQTY,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
총상여금,사용자가 근로자에게 임금 외에 일정한 시기나 조건에 따라 주는 금액을 모두 합하여 계산한 돈의 액수,TBONUS,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총상환금액,갚거나 돌려주는 전체 돈의 액수,TRPY_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총상환예정금액,갚거나 돌려주는 것을 미리 정하거나 생각한 전체 돈의 액수,TRPY_PRNMNT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총서번호,"일정한 형식과 체재로, 계속해서 출판되어 한 질을 이루는 책들에 부여하는 식별 번호",SRS_NO,번호V100,,100자리 이내 문자,,,,,7차(2024-11),,,
총세대수,세대(世帶)의 전체 수,TNOHSH,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
총세액,내야 할 세금의 전체를 합하여 계산한 돈의 액수,TTXAMT,금액N18,,999999999999999999,"999,999,999,999,999,999",,,,8차(2025-11),,,
총소득금액,"근로, 사업, 재산 등에서 얻은 소득을 모두 합하여 계산한 돈의 액수",TEARN_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총소요비용,필요하거나 요구되는 바에 드는 금액을 모두 합하여 계산한 돈,TREQ_CST,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
